arm,rep,case,kind,value,verdict,status,latency_ms
full,1,attack,below-global,110,rejected,400,17.2
full,1,attack,above-global,266,rejected,400,17.9
full,1,attack,above-window,218,rejected,400,17.4
full,1,attack,below-window,170,rejected,400,17.4
full,1,attack,extreme,1000000,rejected,400,2.5
full,1,attack,negative,-66,rejected,400,2.6
full,1,legit,in-window,182,ok,200,140.2
full,1,legit,in-window,190,ok,200,104.6
full,1,legit,in-window,198,ok,200,94.2
full,1,timed,in-window,199,ok,200,127.4
full,1,timed,in-window,194,ok,200,78.9
full,1,timed,in-window,176,ok,200,97.4
full,1,timed,in-window,199,ok,200,155.5
full,1,timed,in-window,197,ok,200,94.6
full,1,timed,in-window,184,ok,200,140.4
full,1,timed,in-window,179,ok,200,134.9
full,1,timed,in-window,181,ok,200,140.9
full,1,timed,in-window,188,ok,200,95.3
full,1,timed,in-window,197,ok,200,93
full,1,timed,in-window,185,ok,200,108.8
full,1,timed,in-window,189,ok,200,124.2
full,1,timed,in-window,197,ok,200,124.2
full,1,timed,in-window,200,ok,200,155.8
full,1,timed,in-window,187,ok,200,94.3
full,1,timed,in-window,185,ok,200,139.9
full,1,timed,in-window,202,ok,200,140.5
full,1,timed,in-window,179,ok,200,159.6
full,1,timed,in-window,182,ok,200,124.4
full,1,timed,in-window,187,ok,200,173
full,1,boundary,edge,205,accept(expect accept),200,109.1
full,1,boundary,edge,205.1,reject(expect reject),400,17.6
full,1,boundary,edge,174.9,reject(expect reject),400,17.2
full,2,attack,below-global,116,rejected,400,2.9
full,2,attack,above-global,268,rejected,400,17.6
full,2,attack,above-window,217,rejected,400,17.1
full,2,attack,below-window,168,rejected,400,17.6
full,2,attack,extreme,1000000,rejected,400,17.8
full,2,attack,negative,-62,rejected,400,18.7
full,2,legit,in-window,182,ok,200,172.7
full,2,legit,in-window,190,ok,200,124.8
full,2,legit,in-window,198,ok,200,111.1
full,2,timed,in-window,193,ok,200,141.9
full,2,timed,in-window,196,ok,200,140.5
full,2,timed,in-window,194,ok,200,93.9
full,2,timed,in-window,179,ok,200,110
full,2,timed,in-window,176,ok,200,109.5
full,2,timed,in-window,193,ok,200,155.7
full,2,timed,in-window,190,ok,200,110
full,2,timed,in-window,179,ok,200,93.5
full,2,timed,in-window,195,ok,200,94.8
full,2,timed,in-window,193,ok,200,95.3
full,2,timed,in-window,179,ok,200,95
full,2,timed,in-window,177,ok,200,157
full,2,timed,in-window,189,ok,200,125.2
full,2,timed,in-window,201,ok,200,126.2
full,2,timed,in-window,200,ok,200,158.2
full,2,timed,in-window,194,ok,200,112.3
full,2,timed,in-window,187,ok,200,158.3
full,2,timed,in-window,188,ok,200,127.4
full,2,timed,in-window,181,ok,200,157.3
full,2,timed,in-window,198,ok,200,95.1
full,2,boundary,edge,205,accept(expect accept),200,142.5
full,2,boundary,edge,205.1,reject(expect reject),400,17.9
full,2,boundary,edge,174.9,reject(expect reject),400,18.3
full,3,attack,below-global,117,rejected,400,17.7
full,3,attack,above-global,272,rejected,400,17.4
full,3,attack,above-window,208,rejected,400,18
full,3,attack,below-window,164,rejected,400,2.6
full,3,attack,extreme,1000000,rejected,400,17.6
full,3,attack,negative,-31,rejected,400,17.6
full,3,legit,in-window,182,ok,200,109
full,3,legit,in-window,190,ok,200,110
full,3,legit,in-window,198,ok,200,110.5
full,3,timed,in-window,189,ok,200,147.1
full,3,timed,in-window,186,ok,200,94.6
full,3,timed,in-window,195,ok,200,171.7
full,3,timed,in-window,177,ok,200,125
full,3,timed,in-window,180,ok,200,94.6
full,3,timed,in-window,193,ok,200,125.6
full,3,timed,in-window,185,ok,200,94.2
full,3,timed,in-window,197,ok,200,155.7
full,3,timed,in-window,188,ok,200,109.8
full,3,timed,in-window,193,ok,200,110.1
full,3,timed,in-window,192,ok,200,125.2
full,3,timed,in-window,180,ok,200,109.8
full,3,timed,in-window,182,ok,200,124.7
full,3,timed,in-window,197,ok,200,140.3
full,3,timed,in-window,185,ok,200,158
full,3,timed,in-window,186,ok,200,93.9
full,3,timed,in-window,201,ok,200,93.5
full,3,timed,in-window,190,ok,200,141.2
