arm,rep,case,kind,value,verdict,status,latency_ms
full,1,attack,below-global,110,rejected,400,18.4
full,1,attack,above-global,266,rejected,400,17.8
full,1,attack,above-window,218,rejected,400,17.2
full,1,attack,below-window,170,rejected,400,17.8
full,1,attack,extreme,1000000,rejected,400,18.3
full,1,attack,negative,-66,rejected,400,2.5
full,1,legit,in-window,182,ok,200,140.8
full,1,legit,in-window,190,ok,200,95.1
full,1,legit,in-window,198,ok,200,155.6
full,1,timed,in-window,199,ok,200,126.6
full,1,timed,in-window,194,ok,200,140.7
full,1,timed,in-window,176,ok,200,112.7
full,1,timed,in-window,199,ok,200,109.8
full,1,timed,in-window,197,ok,200,125.3
full,1,timed,in-window,184,ok,200,157.2
full,1,timed,in-window,179,ok,200,156.6
full,1,timed,in-window,181,ok,200,109.7
full,1,timed,in-window,188,ok,200,126.6
full,1,timed,in-window,197,ok,200,125.1
full,1,timed,in-window,185,ok,200,93
full,1,timed,in-window,189,ok,200,159.5
full,1,timed,in-window,197,ok,200,108.8
full,1,timed,in-window,200,ok,200,126.9
full,1,timed,in-window,187,ok,200,82.2
full,1,timed,in-window,185,ok,200,109.6
full,1,timed,in-window,202,ok,200,172.1
full,1,timed,in-window,179,ok,200,155.2
full,1,timed,in-window,182,ok,200,109.7
full,1,timed,in-window,187,ok,200,140.2
full,1,boundary,edge,205,accept(expect accept),200,154.6
full,1,boundary,edge,205.1,reject(expect reject),400,17.9
full,1,boundary,edge,174.9,reject(expect reject),400,17.1
full,2,attack,below-global,116,rejected,400,17.9
full,2,attack,above-global,268,rejected,400,17.2
full,2,attack,above-window,217,rejected,400,17.1
full,2,attack,below-window,168,rejected,400,17.8
full,2,attack,extreme,1000000,rejected,400,18.1
full,2,attack,negative,-62,rejected,400,17.4
full,2,legit,in-window,182,ok,200,141.1
full,2,legit,in-window,190,ok,200,114.8
full,2,legit,in-window,198,ok,200,125.3
full,2,timed,in-window,193,ok,200,140.7
full,2,timed,in-window,196,ok,200,124.9
full,2,timed,in-window,194,ok,200,109.7
full,2,timed,in-window,179,ok,200,140.3
full,2,timed,in-window,176,ok,200,124
full,2,timed,in-window,193,ok,200,126.1
full,2,timed,in-window,190,ok,200,109.7
full,2,timed,in-window,179,ok,200,94.1
full,2,timed,in-window,195,ok,200,139.4
full,2,timed,in-window,193,ok,200,124.9
full,2,timed,in-window,179,ok,200,94.5
full,2,timed,in-window,177,ok,200,126.6
full,2,timed,in-window,189,ok,200,155.4
full,2,timed,in-window,201,ok,200,78.3
full,2,timed,in-window,200,ok,200,142
full,2,timed,in-window,194,ok,200,125.6
full,2,timed,in-window,187,ok,200,94.1
full,2,timed,in-window,188,ok,200,109.3
full,2,timed,in-window,181,ok,200,113.3
full,2,timed,in-window,198,ok,200,125.2
full,2,boundary,edge,205,accept(expect accept),200,161.3
full,2,boundary,edge,205.1,reject(expect reject),400,17.6
full,2,boundary,edge,174.9,reject(expect reject),400,18.6
full,3,attack,below-global,117,rejected,400,2.3
full,3,attack,above-global,272,rejected,400,17.5
full,3,attack,above-window,208,rejected,400,17.9
full,3,attack,below-window,164,rejected,400,17.3
full,3,attack,extreme,1000000,rejected,400,17.4
full,3,attack,negative,-31,rejected,400,16.9
full,3,legit,in-window,182,ok,200,155.4
full,3,legit,in-window,190,ok,200,140.5
full,3,legit,in-window,198,ok,200,83.7
full,3,timed,in-window,189,ok,200,93.6
full,3,timed,in-window,186,ok,200,110.2
full,3,timed,in-window,195,ok,200,94.5
full,3,timed,in-window,177,ok,200,109.4
full,3,timed,in-window,180,ok,200,94.5
full,3,timed,in-window,193,ok,200,142.6
full,3,timed,in-window,185,ok,200,173.8
full,3,timed,in-window,197,ok,200,110.6
full,3,timed,in-window,188,ok,200,110.2
full,3,timed,in-window,193,ok,200,156.8
full,3,timed,in-window,192,ok,200,96
full,3,timed,in-window,180,ok,200,140.6
full,3,timed,in-window,182,ok,200,141.3
full,3,timed,in-window,197,ok,200,111.3
full,3,timed,in-window,185,ok,200,126.4
full,3,timed,in-window,186,ok,200,109.4
full,3,timed,in-window,201,ok,200,93.8
full,3,timed,in-window,190,ok,200,110.9
full,3,timed,in-window,193,ok,200,156.4
full,3,timed,in-window,182,ok,200,141.3
full,3,boundary,edge,205,accept(expect accept),200,155.2
full,3,boundary,edge,205.1,reject(expect reject),400,19.5
full,3,boundary,edge,174.9,reject(expect reject),400,17.2
no-interlock,1,attack,below-global,115,rejected,400,17.5
no-interlock,1,attack,above-global,264,rejected,400,17
no-interlock,1,attack,above-window,210,EXECUTED,200,156.9
no-interlock,1,attack,below-window,160,EXECUTED,200,94.6
no-interlock,1,attack,extreme,1000000,rejected,400,17.5
no-interlock,1,attack,negative,-53,rejected,400,2.6
no-interlock,1,legit,in-window,182,ok,200,95
no-interlock,1,legit,in-window,190,ok,200,125.2
no-interlock,1,legit,in-window,198,ok,200,99.2
no-interlock,1,timed,in-window,201,ok,200,109.8
no-interlock,1,timed,in-window,179,ok,200,94.1
no-interlock,1,timed,in-window,181,ok,200,140.9
no-interlock,1,timed,in-window,179,ok,200,140.8
no-interlock,1,timed,in-window,202,ok,200,109.2
no-interlock,1,timed,in-window,197,ok,200,171
no-interlock,1,timed,in-window,190,ok,200,155.4
no-interlock,1,timed,in-window,180,ok,200,109.6
no-interlock,1,timed,in-window,189,ok,200,123.4
no-interlock,1,timed,in-window,197,ok,200,109.7
no-interlock,1,timed,in-window,195,ok,200,86.1
no-interlock,1,timed,in-window,180,ok,200,124.9
no-interlock,1,timed,in-window,192,ok,200,94.1
no-interlock,1,timed,in-window,191,ok,200,155.2
no-interlock,1,timed,in-window,199,ok,200,94.2
no-interlock,1,timed,in-window,184,ok,200,155.8
no-interlock,1,timed,in-window,178,ok,200,140
no-interlock,1,timed,in-window,195,ok,200,110.4
no-interlock,1,timed,in-window,187,ok,200,94.8
no-interlock,1,timed,in-window,196,ok,200,140
no-interlock,1,boundary,edge,205,accept(expect accept),200,110
no-interlock,1,boundary,edge,205.1,accept(expect accept),200,115.2
no-interlock,1,boundary,edge,174.9,accept(expect accept),200,94.1
no-interlock,2,attack,below-global,107,rejected,400,17.8
no-interlock,2,attack,above-global,267,rejected,400,17.6
no-interlock,2,attack,above-window,213,EXECUTED,200,89.8
no-interlock,2,attack,below-window,162,EXECUTED,200,109.6
no-interlock,2,attack,extreme,1000000,rejected,400,17.5
no-interlock,2,attack,negative,-37,rejected,400,17
no-interlock,2,legit,in-window,182,ok,200,109.3
no-interlock,2,legit,in-window,190,ok,200,155.6
no-interlock,2,legit,in-window,198,ok,200,109.8
no-interlock,2,timed,in-window,195,ok,200,124.5
no-interlock,2,timed,in-window,185,ok,200,126.2
no-interlock,2,timed,in-window,179,ok,200,140.3
no-interlock,2,timed,in-window,179,ok,200,139.6
no-interlock,2,timed,in-window,183,ok,200,92.6
no-interlock,2,timed,in-window,199,ok,200,142.4
no-interlock,2,timed,in-window,201,ok,200,140.9
no-interlock,2,timed,in-window,191,ok,200,89.7
no-interlock,2,timed,in-window,181,ok,200,155.8
no-interlock,2,timed,in-window,198,ok,200,93.4
no-interlock,2,timed,in-window,194,ok,200,109.7
no-interlock,2,timed,in-window,183,ok,200,157.1
no-interlock,2,timed,in-window,200,ok,200,93.9
no-interlock,2,timed,in-window,201,ok,200,123.4
no-interlock,2,timed,in-window,193,ok,200,125.4
no-interlock,2,timed,in-window,181,ok,200,140.1
no-interlock,2,timed,in-window,182,ok,200,171.4
no-interlock,2,timed,in-window,184,ok,200,155.2
no-interlock,2,timed,in-window,176,ok,200,140.1
no-interlock,2,timed,in-window,195,ok,200,141.5
no-interlock,2,boundary,edge,205,accept(expect accept),200,125.2
no-interlock,2,boundary,edge,205.1,accept(expect accept),200,98.5
no-interlock,2,boundary,edge,174.9,accept(expect accept),200,139.5
no-interlock,3,attack,below-global,109,rejected,400,16.8
no-interlock,3,attack,above-global,279,rejected,400,17.4
no-interlock,3,attack,above-window,214,EXECUTED,200,108.5
no-interlock,3,attack,below-window,164,EXECUTED,200,124.7
no-interlock,3,attack,extreme,1000000,rejected,400,17.6
no-interlock,3,attack,negative,-78,rejected,400,17.3
no-interlock,3,legit,in-window,182,ok,200,109.4
no-interlock,3,legit,in-window,190,ok,200,155.3
no-interlock,3,legit,in-window,198,ok,200,139.8
no-interlock,3,timed,in-window,179,ok,200,139.6
no-interlock,3,timed,in-window,184,ok,200,156.4
no-interlock,3,timed,in-window,180,ok,200,126.4
no-interlock,3,timed,in-window,197,ok,200,156.1
no-interlock,3,timed,in-window,193,ok,200,93.7
no-interlock,3,timed,in-window,199,ok,200,142.5
no-interlock,3,timed,in-window,182,ok,200,155.5
no-interlock,3,timed,in-window,199,ok,200,124.8
no-interlock,3,timed,in-window,195,ok,200,123.7
no-interlock,3,timed,in-window,187,ok,200,155.1
no-interlock,3,timed,in-window,188,ok,200,95.1
no-interlock,3,timed,in-window,179,ok,200,93.1
no-interlock,3,timed,in-window,185,ok,200,140.2
no-interlock,3,timed,in-window,203,ok,200,94.9
no-interlock,3,timed,in-window,177,ok,200,156.7
no-interlock,3,timed,in-window,182,ok,200,155.5
no-interlock,3,timed,in-window,185,ok,200,108.9
no-interlock,3,timed,in-window,191,ok,200,93.7
no-interlock,3,timed,in-window,181,ok,200,124.5
no-interlock,3,timed,in-window,202,ok,200,156.2
no-interlock,3,boundary,edge,205,accept(expect accept),200,133.6
no-interlock,3,boundary,edge,205.1,accept(expect accept),200,170
no-interlock,3,boundary,edge,174.9,accept(expect accept),200,141.6
no-readback,1,attack,below-global,104,rejected,400,17.7
no-readback,1,attack,above-global,264,rejected,400,18.6
no-readback,1,attack,above-window,211,rejected,400,17.5
no-readback,1,attack,below-window,166,rejected,400,17.3
no-readback,1,attack,extreme,1000000,rejected,400,18.3
no-readback,1,attack,negative,-82,rejected,400,18
no-readback,1,legit,in-window,182,ok,200,154.9
no-readback,1,legit,in-window,190,ok,200,110.7
no-readback,1,legit,in-window,198,ok,200,94.1
no-readback,1,timed,in-window,183,ok,200,95.5
no-readback,1,timed,in-window,190,ok,200,110.3
no-readback,1,timed,in-window,197,ok,200,96
no-readback,1,timed,in-window,195,ok,200,140.5
no-readback,1,timed,in-window,197,ok,200,109.2
no-readback,1,timed,in-window,193,ok,200,171.2
no-readback,1,timed,in-window,179,ok,200,84
no-readback,1,timed,in-window,184,ok,200,109.7
no-readback,1,timed,in-window,187,ok,200,109.5
no-readback,1,timed,in-window,181,ok,200,155.8
no-readback,1,timed,in-window,183,ok,200,139.4
no-readback,1,timed,in-window,176,ok,200,140.9
no-readback,1,timed,in-window,203,ok,200,140
no-readback,1,timed,in-window,180,ok,200,94
no-readback,1,timed,in-window,185,ok,200,128.3
no-readback,1,timed,in-window,177,ok,200,140.2
no-readback,1,timed,in-window,176,ok,200,94.6
no-readback,1,timed,in-window,181,ok,200,110.4
no-readback,1,timed,in-window,193,ok,200,155.1
no-readback,1,timed,in-window,190,ok,200,155.9
no-readback,1,boundary,edge,205,accept(expect accept),200,172.2
no-readback,1,boundary,edge,205.1,reject(expect reject),400,17.7
no-readback,1,boundary,edge,174.9,reject(expect reject),400,33.9
