arm,rep,case,kind,value,verdict,status,latency_ms
no-interlock,2,attack,extreme,1000000,rejected,400,17.5
no-interlock,2,attack,negative,-37,rejected,400,18.4
no-interlock,2,legit,in-window,182,ok,200,140.8
no-interlock,2,legit,in-window,190,ok,200,171.6
no-interlock,2,legit,in-window,198,ok,200,125.3
no-interlock,2,timed,in-window,195,ok,200,156.2
no-interlock,2,timed,in-window,185,ok,200,149.3
no-interlock,2,timed,in-window,179,ok,200,95
no-interlock,2,timed,in-window,179,ok,200,124.7
no-interlock,2,timed,in-window,183,ok,200,109.8
no-interlock,2,timed,in-window,199,ok,200,140.5
no-interlock,2,timed,in-window,201,ok,200,156.4
no-interlock,2,timed,in-window,191,ok,200,149.4
no-interlock,2,timed,in-window,181,ok,200,125.6
no-interlock,2,timed,in-window,198,ok,200,77.6
no-interlock,2,timed,in-window,194,ok,200,140.7
no-interlock,2,timed,in-window,183,ok,200,157.2
no-interlock,2,timed,in-window,200,ok,200,134.4
no-interlock,2,timed,in-window,201,ok,200,140.6
no-interlock,2,timed,in-window,193,ok,200,156.8
no-interlock,2,timed,in-window,181,ok,200,152
no-interlock,2,timed,in-window,182,ok,200,125.5
no-interlock,2,timed,in-window,184,ok,200,110.7
no-interlock,2,timed,in-window,176,ok,200,125.3
no-interlock,2,timed,in-window,195,ok,200,159.3
no-interlock,2,boundary,edge,205,accept(expect accept),200,125.9
no-interlock,2,boundary,edge,205.1,accept(expect accept),200,156.3
no-interlock,2,boundary,edge,174.9,accept(expect accept),200,126.2
no-interlock,3,attack,below-global,109,rejected,400,17.6
no-interlock,3,attack,above-global,279,rejected,400,17.7
no-interlock,3,attack,above-window,214,EXECUTED,200,94
no-interlock,3,attack,below-window,164,EXECUTED,200,110.3
no-interlock,3,attack,extreme,1000000,rejected,400,2.7
no-interlock,3,attack,negative,-78,rejected,400,17.7
no-interlock,3,legit,in-window,182,ok,200,94
no-interlock,3,legit,in-window,190,ok,200,96
no-interlock,3,legit,in-window,198,ok,200,134.5
no-interlock,3,timed,in-window,179,ok,200,140.4
no-interlock,3,timed,in-window,184,ok,200,141.6
no-interlock,3,timed,in-window,180,ok,200,127.2
no-interlock,3,timed,in-window,197,ok,200,125.6
no-interlock,3,timed,in-window,193,ok,200,150.2
no-interlock,3,timed,in-window,199,ok,200,140.8
no-interlock,3,timed,in-window,182,ok,200,110
no-interlock,3,timed,in-window,199,ok,200,158
no-interlock,3,timed,in-window,195,ok,200,142.8
no-interlock,3,timed,in-window,187,ok,200,96
no-interlock,3,timed,in-window,188,ok,200,110.7
no-interlock,3,timed,in-window,179,ok,200,110
no-interlock,3,timed,in-window,185,ok,200,141.3
no-interlock,3,timed,in-window,203,ok,200,118.6
no-interlock,3,timed,in-window,177,ok,200,95.7
no-interlock,3,timed,in-window,182,ok,200,126.4
no-interlock,3,timed,in-window,185,ok,200,140.6
no-interlock,3,timed,in-window,191,ok,200,143.9
no-interlock,3,timed,in-window,181,ok,200,104.3
no-interlock,3,timed,in-window,202,ok,200,109.8
no-interlock,3,boundary,edge,205,accept(expect accept),200,95
no-interlock,3,boundary,edge,205.1,accept(expect accept),200,125.6
no-interlock,3,boundary,edge,174.9,accept(expect accept),200,150
no-readback,1,attack,below-global,104,rejected,400,18.4
no-readback,1,attack,above-global,264,rejected,400,17.5
no-readback,1,attack,above-window,211,rejected,400,17.9
no-readback,1,attack,below-window,166,rejected,400,17.3
no-readback,1,attack,extreme,1000000,rejected,400,17.2
no-readback,1,attack,negative,-82,rejected,400,17
no-readback,1,legit,in-window,182,ok,200,109.8
no-readback,1,legit,in-window,190,ok,200,127
no-readback,1,legit,in-window,198,ok,200,142.4
no-readback,1,timed,in-window,183,ok,200,134.8
no-readback,1,timed,in-window,190,ok,200,94.8
no-readback,1,timed,in-window,197,ok,200,142.5
no-readback,1,timed,in-window,195,ok,200,156.9
no-readback,1,timed,in-window,197,ok,200,89.6
no-readback,1,timed,in-window,193,ok,200,95
no-readback,1,timed,in-window,179,ok,200,95
no-readback,1,timed,in-window,184,ok,200,79.1
no-readback,1,timed,in-window,187,ok,200,110.3
no-readback,1,timed,in-window,181,ok,200,94
no-readback,1,timed,in-window,183,ok,200,141.7
no-readback,1,timed,in-window,176,ok,200,156.5
no-readback,1,timed,in-window,203,ok,200,125.6
no-readback,1,timed,in-window,180,ok,200,135.3
no-readback,1,timed,in-window,185,ok,200,125.6
no-readback,1,timed,in-window,177,ok,200,78.9
no-readback,1,timed,in-window,176,ok,200,125.4
no-readback,1,timed,in-window,181,ok,200,141.8
no-readback,1,timed,in-window,193,ok,200,125.2
no-readback,1,timed,in-window,190,ok,200,103.9
no-readback,1,boundary,edge,205,accept(expect accept),200,94.1
no-readback,1,boundary,edge,205.1,reject(expect reject),400,18.5
no-readback,1,boundary,edge,174.9,reject(expect reject),400,15.3
no-readback,2,attack,below-global,102,rejected,400,17
no-readback,2,attack,above-global,278,rejected,400,2.8
no-readback,2,attack,above-window,214,rejected,400,17.7
no-readback,2,attack,below-window,163,rejected,400,16.9
no-readback,2,attack,extreme,1000000,rejected,400,18.3
no-readback,2,attack,negative,-64,rejected,400,17.3
no-readback,2,legit,in-window,182,ok,200,109.4
no-readback,2,legit,in-window,190,ok,200,111.5
no-readback,2,legit,in-window,198,ok,200,110.7
no-readback,2,timed,in-window,184,ok,200,109.8
no-readback,2,timed,in-window,198,ok,200,110
no-readback,2,timed,in-window,186,ok,200,109.6
no-readback,2,timed,in-window,178,ok,200,156.3
no-readback,2,timed,in-window,185,ok,200,156.4
no-readback,2,timed,in-window,200,ok,200,124.7
no-readback,2,timed,in-window,196,ok,200,109
no-readback,2,timed,in-window,186,ok,200,142.6
no-readback,2,timed,in-window,203,ok,200,109.8
no-readback,2,timed,in-window,181,ok,200,158.6
no-readback,2,timed,in-window,200,ok,200,112.5
no-readback,2,timed,in-window,200,ok,200,142.1
no-readback,2,timed,in-window,181,ok,200,126
no-readback,2,timed,in-window,184,ok,200,125
no-readback,2,timed,in-window,180,ok,200,142.6
no-readback,2,timed,in-window,182,ok,200,127.5
no-readback,2,timed,in-window,189,ok,200,93.7
no-readback,2,timed,in-window,179,ok,200,141.7
no-readback,2,timed,in-window,176,ok,200,95
no-readback,2,timed,in-window,200,ok,200,142.3
no-readback,2,boundary,edge,205,accept(expect accept),200,109.4
no-readback,2,boundary,edge,205.1,reject(expect reject),400,18.7
no-readback,2,boundary,edge,174.9,reject(expect reject),400,18.1
no-readback,3,attack,below-global,108,rejected,400,17.5
no-readback,3,attack,above-global,271,rejected,400,17.8
no-readback,3,attack,above-window,207,rejected,400,17.3
no-readback,3,attack,below-window,160,rejected,400,17.5
no-readback,3,attack,extreme,1000000,rejected,400,18.5
no-readback,3,attack,negative,-97,rejected,400,17.2
no-readback,3,legit,in-window,182,ok,200,125.1
no-readback,3,legit,in-window,190,ok,200,124.9
no-readback,3,legit,in-window,198,ok,200,155.8
no-readback,3,timed,in-window,199,ok,200,110.1
no-readback,3,timed,in-window,201,ok,200,110.4
no-readback,3,timed,in-window,190,ok,200,79.3
no-readback,3,timed,in-window,178,ok,200,141.1
no-readback,3,timed,in-window,193,ok,200,94.4
no-readback,3,timed,in-window,188,ok,200,93.9
no-readback,3,timed,in-window,191,ok,200,126.9
no-readback,3,timed,in-window,194,ok,200,109.1
