arm,rep,case,kind,value,verdict,status,latency_ms
no-interlock,2,attack,negative,-37,rejected,400,17.3
no-interlock,2,legit,in-window,182,ok,200,109.5
no-interlock,2,legit,in-window,190,ok,200,142.2
no-interlock,2,legit,in-window,198,ok,200,156.4
no-interlock,2,timed,in-window,195,ok,200,110.4
no-interlock,2,timed,in-window,185,ok,200,126.5
no-interlock,2,timed,in-window,179,ok,200,126
no-interlock,2,timed,in-window,179,ok,200,94.3
no-interlock,2,timed,in-window,183,ok,200,171.3
no-interlock,2,timed,in-window,199,ok,200,213.7
no-interlock,2,timed,in-window,201,ok,200,95.2
no-interlock,2,timed,in-window,191,ok,200,85.5
no-interlock,2,timed,in-window,181,ok,200,157.2
no-interlock,2,timed,in-window,198,ok,200,110.1
no-interlock,2,timed,in-window,194,ok,200,125.6
no-interlock,2,timed,in-window,183,ok,200,128.1
no-interlock,2,timed,in-window,200,ok,200,125.5
no-interlock,2,timed,in-window,201,ok,200,125.2
no-interlock,2,timed,in-window,193,ok,200,126.2
no-interlock,2,timed,in-window,181,ok,200,142.1
no-interlock,2,timed,in-window,182,ok,200,109.6
no-interlock,2,timed,in-window,184,ok,200,171.6
no-interlock,2,timed,in-window,176,ok,200,109.7
no-interlock,2,timed,in-window,195,ok,200,131.9
no-interlock,2,boundary,edge,205,accept(expect accept),200,105.6
no-interlock,2,boundary,edge,205.1,reject(expect accept),400,18
no-interlock,2,boundary,edge,174.9,reject(expect accept),400,18.2
no-interlock,3,attack,below-global,109,rejected,400,18.1
no-interlock,3,attack,above-global,279,rejected,400,17.7
no-interlock,3,attack,above-window,214,rejected,400,17.9
no-interlock,3,attack,below-window,164,rejected,400,18.3
no-interlock,3,attack,extreme,1000000,rejected,400,24.2
no-interlock,3,attack,negative,-78,rejected,400,18.7
no-interlock,3,legit,in-window,182,ok,200,112.4
no-interlock,3,legit,in-window,190,ok,200,135.2
no-interlock,3,legit,in-window,198,ok,200,125.1
no-interlock,3,timed,in-window,179,ok,200,141.3
no-interlock,3,timed,in-window,184,ok,200,156.8
no-interlock,3,timed,in-window,180,ok,200,125.1
no-interlock,3,timed,in-window,197,ok,200,94.8
no-interlock,3,timed,in-window,193,ok,200,140.4
no-interlock,3,timed,in-window,199,ok,200,200.2
no-interlock,3,timed,in-window,182,ok,200,110.8
no-interlock,3,timed,in-window,199,ok,200,172.5
no-interlock,3,timed,in-window,195,ok,200,94.8
no-interlock,3,timed,in-window,187,ok,200,141.4
no-interlock,3,timed,in-window,188,ok,200,139.7
no-interlock,3,timed,in-window,179,ok,200,110.8
no-interlock,3,timed,in-window,185,ok,200,157.9
no-interlock,3,timed,in-window,203,ok,200,152.3
no-interlock,3,timed,in-window,177,ok,200,114.7
no-interlock,3,timed,in-window,182,ok,200,110.5
no-interlock,3,timed,in-window,185,ok,200,116
no-interlock,3,timed,in-window,191,ok,200,141.3
no-interlock,3,timed,in-window,181,ok,200,142.8
no-interlock,3,timed,in-window,202,ok,200,156.2
no-interlock,3,boundary,edge,205,accept(expect accept),200,141.3
no-interlock,3,boundary,edge,205.1,reject(expect accept),400,90.7
no-interlock,3,boundary,edge,174.9,reject(expect accept),400,17.6
no-readback,1,attack,below-global,104,rejected,400,16.2
no-readback,1,attack,above-global,264,rejected,400,18
no-readback,1,attack,above-window,211,rejected,400,17.5
no-readback,1,attack,below-window,166,rejected,400,17.6
no-readback,1,attack,extreme,1000000,rejected,400,32.4
no-readback,1,attack,negative,-82,rejected,400,18.8
no-readback,1,legit,in-window,182,ok,200,112.2
no-readback,1,legit,in-window,190,ok,200,135.1
no-readback,1,legit,in-window,198,ok,200,163.4
no-readback,1,timed,in-window,183,ok,200,158
no-readback,1,timed,in-window,190,ok,200,94.3
no-readback,1,timed,in-window,197,ok,200,140.6
no-readback,1,timed,in-window,195,ok,200,95.1
no-readback,1,timed,in-window,197,ok,200,165.9
no-readback,1,timed,in-window,193,ok,200,165.8
no-readback,1,timed,in-window,179,ok,200,112.1
no-readback,1,timed,in-window,184,ok,200,110.4
no-readback,1,timed,in-window,187,ok,200,94.7
no-readback,1,timed,in-window,181,ok,200,111.6
no-readback,1,timed,in-window,183,ok,200,142.4
no-readback,1,timed,in-window,176,ok,200,161.9
no-readback,1,timed,in-window,203,ok,200,143.7
no-readback,1,timed,in-window,180,ok,200,141.4
no-readback,1,timed,in-window,185,ok,200,126.3
no-readback,1,timed,in-window,177,ok,200,157
no-readback,1,timed,in-window,176,ok,200,100.7
no-readback,1,timed,in-window,181,ok,200,158
no-readback,1,timed,in-window,193,ok,200,111.3
no-readback,1,timed,in-window,190,ok,200,94.7
no-readback,1,boundary,edge,205,accept(expect accept),200,174.3
no-readback,1,boundary,edge,205.1,reject(expect reject),400,75.9
no-readback,1,boundary,edge,174.9,reject(expect reject),400,18.4
no-readback,2,attack,below-global,102,rejected,400,18
no-readback,2,attack,above-global,278,rejected,400,17.3
no-readback,2,attack,above-window,214,rejected,400,20
no-readback,2,attack,below-window,163,rejected,400,18.4
no-readback,2,attack,extreme,1000000,rejected,400,17.9
no-readback,2,attack,negative,-64,rejected,400,17.4
no-readback,2,legit,in-window,182,ok,200,138.8
no-readback,2,legit,in-window,190,ok,200,108.2
no-readback,2,legit,in-window,198,ok,200,157.1
no-readback,2,timed,in-window,184,ok,200,171.5
no-readback,2,timed,in-window,198,ok,200,149.6
no-readback,2,timed,in-window,186,ok,200,110.1
no-readback,2,timed,in-window,178,ok,200,98.2
no-readback,2,timed,in-window,185,ok,200,98.4
no-readback,2,timed,in-window,200,ok,200,201.7
no-readback,2,timed,in-window,196,ok,200,97.1
no-readback,2,timed,in-window,186,ok,200,141.6
no-readback,2,timed,in-window,203,ok,200,126.2
no-readback,2,timed,in-window,181,ok,200,95.1
no-readback,2,timed,in-window,200,ok,200,159.8
no-readback,2,timed,in-window,200,ok,200,127
no-readback,2,timed,in-window,181,ok,200,172
