arm,rep,case,kind,value,verdict,status,latency_ms
full,1,attack,below-global,110,rejected,400,18.2
full,1,attack,above-global,266,rejected,400,17.6
full,1,attack,above-window,218,rejected,400,17.2
full,1,attack,below-window,170,rejected,400,17.6
full,1,attack,extreme,1000000,rejected,400,17.4
full,1,attack,negative,-66,rejected,400,17.2
full,1,legit,in-window,182,ok,200,143.9
full,1,legit,in-window,190,ok,200,150.6
full,1,legit,in-window,198,ok,200,109.6
full,1,timed,in-window,199,ok,200,149.8
full,1,timed,in-window,194,ok,200,124.3
full,1,timed,in-window,176,ok,200,139.4
full,1,timed,in-window,199,ok,200,109.2
full,1,timed,in-window,197,ok,200,90.7
full,1,timed,in-window,184,ok,200,166.5
full,1,timed,in-window,179,ok,200,125.1
full,1,timed,in-window,181,ok,200,149.3
full,1,timed,in-window,188,ok,200,123.6
full,1,timed,in-window,197,ok,200,140.4
full,1,timed,in-window,185,ok,200,124.5
full,1,timed,in-window,189,ok,200,140.4
full,1,timed,in-window,197,ok,200,78.8
full,1,timed,in-window,200,ok,200,139.9
full,1,timed,in-window,187,ok,200,145.9
full,1,timed,in-window,185,ok,200,93.9
full,1,timed,in-window,202,ok,200,94.3
full,1,timed,in-window,179,ok,200,94.4
full,1,timed,in-window,182,ok,200,140.3
full,1,timed,in-window,187,ok,200,156.3
full,1,boundary,edge,205,accept(expect accept),200,156.1
full,1,boundary,edge,205.1,reject(expect reject),400,22.1
full,1,boundary,edge,174.9,reject(expect reject),400,17.8
full,2,attack,below-global,116,rejected,400,17.5
full,2,attack,above-global,268,rejected,400,17.5
full,2,attack,above-window,217,rejected,400,17.6
full,2,attack,below-window,168,rejected,400,17.5
full,2,attack,extreme,1000000,rejected,400,17.2
full,2,attack,negative,-62,rejected,400,17
full,2,legit,in-window,182,ok,200,124.7
full,2,legit,in-window,190,ok,200,156.3
full,2,legit,in-window,198,ok,200,124.9
full,2,timed,in-window,193,ok,200,156
full,2,timed,in-window,196,ok,200,100.9
full,2,timed,in-window,194,ok,200,140.5
full,2,timed,in-window,179,ok,200,93.6
full,2,timed,in-window,176,ok,200,133.9
full,2,timed,in-window,193,ok,200,139.9
full,2,timed,in-window,190,ok,200,109.3
full,2,timed,in-window,179,ok,200,155.7
full,2,timed,in-window,195,ok,200,140.1
full,2,timed,in-window,193,ok,200,109.7
full,2,timed,in-window,179,ok,200,140.1
full,2,timed,in-window,177,ok,200,141.1
full,2,timed,in-window,189,ok,200,93.8
full,2,timed,in-window,201,ok,200,93.8
full,2,timed,in-window,200,ok,200,94
full,2,timed,in-window,194,ok,200,125.2
full,2,timed,in-window,187,ok,200,94
full,2,timed,in-window,188,ok,200,139.5
full,2,timed,in-window,181,ok,200,124.8
full,2,timed,in-window,198,ok,200,94.2
full,2,boundary,edge,205,accept(expect accept),200,94.1
full,2,boundary,edge,205.1,reject(expect reject),400,16.8
full,2,boundary,edge,174.9,reject(expect reject),400,17
full,3,attack,below-global,117,rejected,400,17
full,3,attack,above-global,272,rejected,400,2.5
full,3,attack,above-window,208,rejected,400,17.8
full,3,attack,below-window,164,rejected,400,17.2
full,3,attack,extreme,1000000,rejected,400,17.3
full,3,attack,negative,-31,rejected,400,17
full,3,legit,in-window,182,ok,200,117.8
